Parsing Table: 
Table                                           $                                               +                                               -                                               *                                               /                                               =                                               <                                               >                                               (                                               )                                               {                                               }                                               :=                                              ;                                               and                                             else                                            end                                             ic                                              id                                              if                                              int                                             do                                              fc                                              float                                           not                                             or                                              print                                           prog                                            scan                                            str                                             then                                            while                                           
TY                                              None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            TY -> [['int']]                                 None                                            None                                            TY -> [['float']]                               None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
VL                                              None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            VL -> [['id', "VL'"]]                           None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
WS                                              None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            WS -> [['while', 'BE', 'do', 'SL', 'end']]      
VL'                                             None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            VL' -> [['epsilon']]                            None                                            None                                            None                                            None                                            VL' -> [['id', "VL'"]]                          None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
IS'                                             None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            IS' -> [['else', 'SL', 'end']]                  IS' -> [['end']]                                None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
RE'                                             None                                            None                                            None                                            None                                            None                                            RE' -> [['=', 'E']]                             RE' -> [['<', 'E']]                             RE' -> [['>', 'E']]                             None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
E'                                              None                                            E' -> [['+', 'T']]                              E' -> [['-', 'T']]                              None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
T'                                              None                                            None                                            None                                            T' -> [['*', 'F']]                              T' -> [['/', 'F']]                              None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
BE'                                             None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            BE' -> [['epsilon']]                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            BE' -> [['epsilon']]                            None                                            None                                            None                                            BE' -> [['or', 'AE', "BE'"]]                    None                                            None                                            None                                            None                                            BE' -> [['epsilon']]                            None                                            
AE'                                             None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            AE' -> [['epsilon']]                            None                                            None                                            AE' -> [['and', 'NE', "AE'"]]                   None                                            None                                            None                                            None                                            None                                            None                                            AE' -> [['epsilon']]                            None                                            None                                            None                                            AE' -> [['epsilon']]                            None                                            None                                            None                                            None                                            AE' -> [['epsilon']]                            None                                            
E''                                             None                                            E'' -> [["E'", "E''"]]                          E'' -> [["E'", "E''"]]                          None                                            None                                            E'' -> [['epsilon']]                            E'' -> [['epsilon']]                            E'' -> [['epsilon']]                            None                                            E'' -> [['epsilon']]                            None                                            E'' -> [['epsilon']]                            None                                            E'' -> [['epsilon']]                            E'' -> [['epsilon']]                            E'' -> [['epsilon']]                            E'' -> [['epsilon']]                            None                                            E'' -> [['epsilon']]                            E'' -> [['epsilon']]                            None                                            E'' -> [['epsilon']]                            None                                            None                                            None                                            E'' -> [['epsilon']]                            E'' -> [['epsilon']]                            None                                            E'' -> [['epsilon']]                            None                                            E'' -> [['epsilon']]                            E'' -> [['epsilon']]                            
T''                                             None                                            T'' -> [['epsilon']]                            T'' -> [['epsilon']]                            T'' -> [["T'", "T''"]]                          T'' -> [["T'", "T''"]]                          T'' -> [['epsilon']]                            T'' -> [['epsilon']]                            T'' -> [['epsilon']]                            None                                            T'' -> [['epsilon']]                            None                                            T'' -> [['epsilon']]                            None                                            T'' -> [['epsilon']]                            T'' -> [['epsilon']]                            T'' -> [['epsilon']]                            T'' -> [['epsilon']]                            None                                            T'' -> [['epsilon']]                            T'' -> [['epsilon']]                            None                                            T'' -> [['epsilon']]                            None                                            None                                            None                                            T'' -> [['epsilon']]                            T'' -> [['epsilon']]                            None                                            T'' -> [['epsilon']]                            None                                            T'' -> [['epsilon']]                            T'' -> [['epsilon']]                            

